star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0070-01335-1,52.68915361,6.18874167,6.032,2000.0,44.900,-17.900
TYC 0071-01221-1,56.43338194,7.18887222,7.199,2000.0,-9.800,0.800
TYC 0071-01223-1,56.53901667,6.80365028,6.030,2000.0,1.200,-53.800
TYC 0071-01224-1,56.41846417,6.05002694,5.319,2000.0,21.300,-13.800
TYC 0071-01225-1,55.11682667,5.12589278,6.773,2000.0,8.100,-6.700
TYC 0072-00232-1,59.25707306,6.04012833,6.081,2000.0,35.800,-68.200
TYC 0072-01040-1,58.61344139,5.17466750,7.461,2000.0,12.700,-25.700
TYC 0072-01226-1,58.00090611,6.53484833,5.770,2000.0,8.200,-6.200
TYC 0074-00231-1,63.23435194,1.92370194,7.486,2000.0,21.600,-4.100
TYC 0074-00437-1,63.60461028,1.65932972,7.483,2000.0,-5.100,-15.900
TYC 0074-00519-1,62.78898778,2.31843444,7.241,2000.0,-11.200,-15.300
TYC 0074-01190-1,63.03866722,0.73555611,6.674,2000.0,-6.300,13.900
TYC 0074-01468-1,64.00593889,0.45394639,7.386,2000.0,20.200,-37.200
TYC 0075-00073-1,65.44290861,2.39042917,6.989,2000.0,20.500,-140.100
TYC 0075-02649-1,66.48420694,1.03179000,7.354,2000.0,-4.200,-6.200
TYC 0075-02833-1,66.75273306,2.07955389,6.343,2000.0,72.600,-57.900
TYC 0075-02834-1,67.01508917,1.85858083,6.253,2000.0,29.100,5.700
TYC 0075-02835-1,67.13379056,1.38087194,5.516,2000.0,18.900,-20.300
TYC 0076-00117-1,60.83842167,3.18780750,7.275,2000.0,0.900,9.000
TYC 0076-00228-1,60.82929472,3.07765361,7.168,2000.0,-11.500,18.400
TYC 0076-00587-1,62.42931389,3.32284611,6.534,2000.0,-50.600,-60.400
TYC 0076-00723-1,60.62173250,3.84724972,6.909,2000.0,3.400,-6.500
TYC 0076-01563-1,61.04080222,2.82724639,5.399,2000.0,148.900,-127.500
TYC 0077-00021-1,64.32248278,2.52972139,7.340,2000.0,-10.600,-14.200
TYC 0077-01057-1,63.86277806,4.00937972,7.374,2000.0,9.700,0.900
TYC 0078-00901-1,66.50556583,4.37348611,6.508,2000.0,18.800,-15.000
TYC 0079-00162-1,62.36336806,6.72518611,6.741,2000.0,29.200,-54.800
TYC 0079-00826-1,60.93584944,5.43563917,5.293,2000.0,3.000,-7.000
TYC 0079-01585-1,60.78907361,5.98930972,3.888,2000.0,4.500,-2.300
TYC 0080-00204-1,63.85768417,6.19991611,7.015,2000.0,-102.600,-112.800
TYC 0080-00814-1,64.29757111,5.02460333,7.012,2000.0,-9.900,-13.900
TYC 0080-00822-1,63.18104833,5.03087472,7.426,2000.0,-0.100,-2.200
TYC 0080-00874-1,63.87025694,6.18711139,6.377,2000.0,-111.100,-106.300
TYC 0080-01093-1,62.83416500,5.52303556,5.744,2000.0,147.700,5.200
TYC 0081-00701-1,66.71234583,7.09456306,7.117,2000.0,12.200,66.800
TYC 0081-01447-1,66.40343278,5.64533806,7.167,2000.0,1.000,3.300
TYC 0081-01629-1,66.48869028,5.15013472,7.414,2000.0,94.700,3.800
TYC 0081-01820-1,67.41220833,5.16430944,7.210,2000.0,18.100,-17.900
TYC 0081-02311-1,65.17188722,6.13090139,5.855,2000.0,-14.300,-45.000
TYC 0082-00486-1,68.61186250,0.40723611,7.321,2000.0,4.000,-101.200
TYC 0082-01212-1,68.10194750,0.98016194,7.238,2000.0,10.300,-14.900
TYC 0082-01777-1,69.30698167,0.99832694,5.296,2000.0,-4.900,-5.500
