star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0027-00801-1,20.69526611,6.43210444,7.999,2000.0,45.300,-9.100
TYC 0027-01246-1,21.91590389,5.35308889,7.121,2000.0,-20.200,-128.300
TYC 0028-00520-1,23.64559917,0.23269444,8.017,2000.0,1.300,-30.000
TYC 0028-00602-1,23.24534361,0.12689944,8.264,2000.0,8.100,8.200
TYC 0028-00644-1,23.75834139,0.01941722,8.161,2000.0,28.300,-19.700
TYC 0028-00700-1,24.85465194,0.61209167,7.681,2000.0,-21.400,15.000
TYC 0028-01104-1,23.98238278,1.27502028,8.310,2000.0,76.500,45.200
TYC 0028-01178-1,23.07723444,1.57205111,8.142,2000.0,-12.300,-3.300
TYC 0028-01244-1,23.70312528,0.94540556,6.955,2000.0,209.100,-270.800
TYC 0029-00202-1,26.84024694,0.81219889,7.910,2000.0,33.000,10.300
TYC 0029-00333-1,27.25136278,1.33154361,7.404,2000.0,20.100,-5.200
TYC 0029-00533-1,25.54320833,2.30799000,7.532,2000.0,-5.100,13.000
TYC 0029-00562-1,25.21678000,1.62828528,8.414,2000.0,46.600,37.700
TYC 0029-00891-1,27.07102333,0.45212472,8.140,2000.0,12.600,9.900
TYC 0029-00983-1,26.89944806,0.15523778,7.917,2000.0,-3.900,-4.200
TYC 0029-01021-1,25.94543583,0.90252139,8.017,2000.0,13.300,-26.000
TYC 0030-00156-1,29.79300167,0.50692083,8.308,2000.0,33.400,-1.700
TYC 0636-00620-1,32.71672750,13.68344639,8.282,2000.0,,
TYC 0030-01192-1,27.89321889,2.38617306,8.296,2000.0,-4.600,-14.300
TYC 0030-01209-1,28.15969111,2.49830500,7.630,2000.0,67.600,-16.000
TYC 0030-01344-1,28.97393194,1.84953806,6.792,2000.0,163.900,189.200
TYC 0030-01344-2,28.97366472,1.84936778,6.840,2000.0,163.900,189.200
TYC 0031-00097-1,23.18532917,3.03241417,8.039,2000.0,2.500,-25.100
TYC 0031-00142-1,24.58294333,2.58607306,7.087,2000.0,20.700,-1.500
TYC 0031-00396-1,23.51629806,4.12881222,8.213,2000.0,-26.200,0.200
TYC 0031-00683-1,23.06219889,3.68516306,7.584,2000.0,18.400,-0.900
TYC 0031-00740-1,23.43941556,3.77215194,8.308,2000.0,48.300,5.500
TYC 0031-00876-1,24.07059389,4.31432306,8.006,2000.0,24.700,4.300
TYC 0031-01186-1,24.93312750,3.45548889,8.207,2000.0,10.500,6.200
TYC 0032-00065-1,26.27072000,2.50318972,7.322,2000.0,36.100,-17.100
TYC 0032-00067-1,26.14985139,3.22374139,6.909,2000.0,-18.100,-11.900
TYC 0032-00070-1,27.06150278,2.71142278,8.478,2000.0,43.500,-28.300
TYC 0032-00127-1,25.19571889,2.70496667,8.437,2000.0,2.800,-19.500
TYC 0032-00159-1,26.43803167,3.17535667,8.415,2000.0,12.900,-2.600
TYC 0032-00383-1,25.47137722,2.70436083,7.936,2000.0,24.300,10.800
TYC 0032-00555-1,25.99586056,4.99584222,7.973,2000.0,1.900,-8.800
TYC 0032-00573-1,25.27806833,3.71364194,8.183,2000.0,-111.200,108.600
TYC 0032-00773-1,27.10843139,3.68540333,6.013,2000.0,-9.300,17.900
TYC 0032-00976-1,26.43267333,3.66724389,7.003,2000.0,-16.000,-10.000
TYC 0032-01049-1,25.96629306,3.58999833,8.412,2000.0,6.300,-19.700
TYC 0032-01160-1,26.47918556,3.41757944,6.859,2000.0,-12.900,-10.800
TYC 0033-00647-1,27.75409667,4.22069000,8.419,2000.0,66.400,-50.000
TYC 0033-00735-1,28.19822861,4.66303028,8.076,2000.0,-2.100,-5.700
TYC 0033-01033-1,29.95343972,4.59190056,8.411,2000.0,27.500,17.900
TYC 0033-01190-1,28.70085667,3.39371694,7.810,2000.0,94.000,9.200
TYC 0033-01213-1,28.38891056,3.18748056,4.709,2000.0,20.800,21.600
TYC 0034-00012-1,23.38638111,6.56664694,8.483,2000.0,-2.800,-0.200
TYC 0034-00215-1,23.69226917,6.58640472,8.083,2000.0,-11.800,-6.600
TYC 0034-00237-1,22.77705056,6.61942417,8.366,2000.0,24.600,22.000
TYC 0034-00393-1,24.17192778,6.71808028,7.152,2000.0,-11.500,-26.100
TYC 0034-00944-1,24.25885083,5.63097389,8.276,2000.0,123.600,-77.300
TYC 0034-01061-1,22.70906806,5.97359778,8.417,2000.0,13.000,-20.800
TYC 0034-01287-1,22.54563972,6.14393167,4.995,2000.0,292.800,-45.500
TYC 0035-00202-1,25.34887111,6.04625667,8.032,2000.0,37.400,-98.000
TYC 0035-00223-1,27.48330972,7.22367944,7.470,2000.0,-17.900,-61.200
TYC 0035-00435-1,25.35794583,5.48760472,4.587,2000.0,-23.300,1.700
TYC 0035-00456-1,26.63455194,6.14964278,8.412,2000.0,-0.300,-18.400
TYC 0035-00639-1,27.37595389,5.62638444,8.471,2000.0,52.100,-9.500
TYC 0035-00814-1,25.91046667,5.74549389,7.713,2000.0,5.500,2.000
TYC 0035-00880-1,25.09813944,7.08665972,8.332,2000.0,3.300,-33.300
TYC 0036-00013-1,27.73523833,6.00692944,7.847,2000.0,-30.600,-75.800
TYC 0036-00584-1,28.82649028,6.43725000,7.557,2000.0,-8.300,-27.300
TYC 0036-01156-1,29.73524417,6.67411972,8.441,2000.0,29.600,-12.300
TYC 0036-01321-1,29.99321917,6.03553167,6.869,2000.0,60.900,-18.100
TYC 0037-00042-1,30.88944722,1.61015389,8.208,2000.0,33.600,17.800
TYC 0037-00286-1,31.70122528,1.44209667,7.228,2000.0,13.500,10.600
TYC 0037-00427-1,30.69467889,1.93824889,7.656,2000.0,33.300,6.300
TYC 0037-01137-1,32.17395694,0.92922222,8.193,2000.0,1.500,-6.000
TYC 0037-01318-1,30.79837250,0.12845722,5.444,2000.0,77.200,21.200
TYC 0037-01319-1,31.62197194,0.03536917,6.395,2000.0,59.100,8.200
TYC 0038-00151-1,32.55272333,0.49436861,8.370,2000.0,-4.000,4.000
TYC 0038-00422-1,32.93373667,0.22357000,8.324,2000.0,-1.500,-10.600
TYC 0038-00770-1,34.67297972,0.33159083,8.452,2000.0,-9.300,-20.400
TYC 0038-00969-1,34.29893778,1.50869306,8.475,2000.0,1.200,2.900
TYC 0038-01023-1,34.12470306,2.04584750,8.179,2000.0,2.800,-9.400
TYC 0038-01072-1,32.84469028,1.68269917,8.315,2000.0,-9.400,-6.100
TYC 0038-01166-1,34.11811056,2.23815556,7.387,2000.0,36.900,-11.100
TYC 0038-01270-1,33.79001028,0.72019389,6.772,2000.0,10.200,-11.900
TYC 0038-01283-1,33.65413278,1.67761889,7.291,2000.0,-15.700,-10.300
TYC 0038-01324-1,34.30617250,1.86043833,7.337,2000.0,-10.200,-4.100
TYC 0038-01343-1,34.50517083,1.75694778,5.665,2000.0,368.500,370.700
TYC 0039-00343-1,35.45391194,0.97001361,7.436,2000.0,21.700,4.200
TYC 0039-00401-1,36.28327250,0.63638306,8.157,2000.0,1.800,-43.200
TYC 0039-00895-1,35.59461806,0.19234278,8.410,2000.0,-12.100,-31.600
TYC 0039-01123-1,36.99973306,1.96092556,6.630,2000.0,-2.200,-14.000
TYC 0039-01275-1,35.48597694,0.39569111,5.489,2000.0,-11.800,-8.100
TYC 0040-00203-1,30.75284083,2.76242917,8.285,2000.0,16.500,-3.600
TYC 0040-00236-1,30.61130028,2.81587806,8.246,2000.0,39.900,-10.300
TYC 0040-00718-1,32.41655833,4.23275028,7.407,2000.0,53.600,7.400
TYC 0040-00735-1,30.80306083,3.65808778,8.408,2000.0,-25.000,0.200
TYC 0040-00885-1,30.09080583,4.38949222,7.203,2000.0,1.800,3.800
TYC 0040-01162-1,32.46392083,3.76936000,6.814,2000.0,25.100,-6.400
TYC 0040-01202-1,30.41198194,3.68407556,8.428,2000.0,2.200,-15.800
TYC 0040-01286-1,30.75669417,3.35830861,6.947,2000.0,218.500,141.800
TYC 0040-01337-1,30.03763972,3.09759444,5.940,2000.0,231.700,-253.700
TYC 0040-01338-1,30.51167361,2.76375639,4.100,2000.0,41.800,-11.000
TYC 0040-01338-2,30.51116500,2.76383611,5.167,2000.0,41.800,-11.000
TYC 0041-00242-1,34.83128139,2.66473556,7.722,2000.0,19.300,-30.500
TYC 0041-00384-1,34.86948889,2.82033917,7.381,2000.0,23.500,4.400
TYC 0041-00393-1,34.20975306,2.57622833,7.699,2000.0,44.400,-15.100
TYC 0041-00415-1,34.79310917,3.53685917,7.560,2000.0,-4.200,-10.400
TYC 0041-00782-1,34.10989250,4.62610167,8.286,2000.0,7.000,-11.500
TYC 0041-00820-1,33.26024972,4.28619694,8.352,2000.0,6.100,-14.300
TYC 0041-01124-1,34.67044056,4.19616889,7.819,2000.0,-17.200,-43.100
TYC 0041-01195-1,33.78246472,3.85144028,8.275,2000.0,-1.500,-80.000
TYC 0041-01221-1,32.93085889,3.45271750,6.686,2000.0,19.900,-0.700
TYC 0041-01255-1,33.06566917,2.74552306,6.609,2000.0,14.500,13.600
TYC 0042-00772-1,35.75218806,3.79860889,8.077,2000.0,110.500,-11.100
TYC 0042-01187-1,35.50360444,4.74657806,8.334,2000.0,-21.100,79.900
TYC 0042-01252-1,37.18608194,3.57283694,7.914,2000.0,94.300,-20.700
TYC 0043-00036-1,32.34283278,5.98612028,7.019,2000.0,-37.000,37.100
TYC 0043-00132-1,30.28274528,5.33675861,8.087,2000.0,2.200,-2.700
TYC 0043-00163-1,31.78837139,7.30097944,8.361,2000.0,17.000,-11.700
TYC 0043-00275-1,31.45179083,7.02839639,6.826,2000.0,74.300,8.200
TYC 0043-00397-1,30.05304472,6.91806472,7.648,2000.0,-3.700,-16.300
TYC 0043-00568-1,31.91284333,5.62633556,7.742,2000.0,12.500,-10.500
TYC 0043-00695-1,31.47915111,6.67752750,7.836,2000.0,-7.300,-0.400
TYC 0958-01468-1,243.32639056,13.52802722,7.427,2000.0,,
TYC 0043-01044-1,31.94673861,5.98489472,7.169,2000.0,14.600,-26.400
TYC 0958-01468-2,243.32623083,13.52916944,7.475,2000.0,,
TYC 0044-00602-1,32.63474194,6.09881806,7.449,2000.0,106.800,9.000
TYC 0044-00877-1,33.63539917,6.65107083,7.248,2000.0,44.300,-10.100
TYC 0044-01246-1,33.37387083,5.01282778,6.546,2000.0,72.500,-51.400
TYC 0045-00115-1,36.21006667,5.02475806,8.244,2000.0,12.700,-5.900
TYC 0045-00202-1,35.13272250,7.46861972,8.359,2000.0,1.300,6.200
TYC 0045-00892-1,37.38433139,5.76726167,8.158,2000.0,32.400,-10.800
TYC 0045-00962-1,36.76427694,6.22658111,8.092,2000.0,-12.500,-46.500
TYC 0045-00990-1,36.56748861,6.29266472,6.828,2000.0,87.100,-50.900
TYC 0045-00995-1,36.50650111,5.77944722,8.017,2000.0,,
TYC 0046-00032-1,37.81924444,1.51554500,8.465,2000.0,1.900,7.500
TYC 0046-00366-1,38.72084556,1.24502361,7.900,2000.0,-4.500,12.400
TYC 0046-00370-1,38.31587722,0.13354000,8.155,2000.0,11.500,15.000
TYC 0046-00485-1,38.17559694,1.03368556,7.347,2000.0,-20.400,0.700
TYC 0046-00690-1,37.87450944,1.09429083,7.519,2000.0,-30.300,-24.500
TYC 0046-00965-1,39.28978361,2.41550528,7.259,2000.0,25.600,-18.600
TYC 0046-01229-1,39.89478306,1.36868083,8.164,2000.0,9.400,-4.000
TYC 0046-01377-1,39.96554333,0.14666972,7.908,2000.0,58.300,-178.000
TYC 0046-01631-1,37.87534667,2.26720667,5.411,2000.0,23.200,-9.900
TYC 0046-01632-1,37.87210194,1.09140806,7.619,2000.0,-30.600,-26.000
TYC 0046-01633-1,39.87062306,0.32851556,4.029,2000.0,,
TYC 0046-01634-1,37.68846667,0.25587167,6.014,2000.0,-51.900,-52.900
TYC 0047-00258-1,42.40783444,0.92102917,6.925,2000.0,20.200,-26.200
TYC 0047-00435-1,41.91613000,1.70543639,7.932,2000.0,-6.000,-16.400
TYC 0047-00605-1,40.73857278,2.26043250,8.323,2000.0,-5.400,-2.900
TYC 0047-00690-1,40.49571667,0.55033583,7.625,2000.0,10.200,10.700
TYC 0047-00743-1,40.14002917,1.86632028,7.745,2000.0,-31.900,-5.200
TYC 0047-00857-1,40.37607833,0.54605833,6.820,2000.0,-3.400,-16.100
TYC 0047-00914-1,41.86239389,1.05929000,7.970,2000.0,-38.200,42.100
TYC 0047-01140-1,40.82701694,1.73013917,7.998,2000.0,1.800,2.400
TYC 0048-00164-1,42.87274083,0.08633306,7.790,2000.0,12.100,21.300
TYC 0048-00224-1,42.83490139,2.17286833,7.172,2000.0,-8.200,-23.100
TYC 0048-00271-1,43.40934917,1.96966750,6.844,2000.0,-37.800,-150.600
TYC 0048-00443-1,42.82289861,1.70252750,8.004,2000.0,10.600,-5.100
TYC 0048-00529-1,43.80843694,0.43689417,7.155,2000.0,0.300,-54.100
TYC 0048-00633-1,42.58471528,0.96401944,7.690,2000.0,-26.200,-64.400
TYC 0048-00790-1,44.65568333,2.12061611,7.700,2000.0,8.200,-25.900
TYC 0048-00953-1,44.85781639,1.65127139,7.913,2000.0,-26.500,-18.100
TYC 0048-01066-1,44.31213667,1.88754056,7.660,2000.0,105.200,-101.000
