detection_id,x_px,y_px,flux_above_background,peak_above_background,peak_snr,area_px,major_sigma_px,axis_ratio,saturated,source_class,measurement_half_window_px,fitted_ra_deg,fitted_dec_deg,catalogue_star_id,classification
252,1053.9404500856501,538.0012167079246,1038.3736510212727,180.13291949339938,23.61163480847582,10,1.1038114330608622,1.9594321481964674,True,compact,4,49.87680130572267,65.64827356286295,TYC 4061-01593-1,unclassified_object
253,1284.694227573147,742.334127204799,1037.7792973767612,183.8831674153994,37.68351401002563,12,1.0543293949575463,1.5958633128881785,True,compact,4,182.8962843751169,77.5329881061454,TYC 4553-01680-1,unclassified_object
254,567.7611251944489,333.6648472177868,1037.4644415340222,204.87790829590824,34.66486750853128,10,0.7778762175926489,1.1276917615222322,True,compact,4,37.05924714931208,8.441623391942695,TYC 0632-01491-1,unclassified_object
255,476.84683931036386,127.52323060684246,1035.566159793833,177.73814751559738,36.71992145273946,12,1.0024672857112829,1.6311972227476466,True,compact,4,56.52830898438858,-12.078893520164602,TYC 5307-01357-1,unclassified_object
256,1001.4836302084185,1047.311416179287,1035.4774187126259,171.17934574253394,22.28274243231437,12,1.4901572130322351,2.4015143434798523,True,compact,4,284.93339819066955,50.606972338295215,TYC 3549-02883-1,unclassified_object
257,960.8617838345847,1019.0140103222573,1033.109607675441,199.5532555079522,22.718215942369387,8,0.7985366019142133,1.3366768808976452,True,compact,4,294.07907670046694,50.21502747772893,TYC 3564-03157-1,unclassified_object
258,590.6978086486693,1108.9102393104945,1029.9281641106488,193.73544233055318,23.267205368385003,11,0.826780284982408,1.1338537069386867,True,compact,4,308.2956619020884,11.26516319098917,TYC 1096-01684-1,unclassified_object
259,1195.0030400855933,797.7505339366994,1029.8807734402585,211.03236798700047,38.53971617262186,8,0.7529397875007949,1.236155192880498,True,compact,4,251.35186318835014,82.03488876994453,TYC 4580-01154-1,unclassified_object
260,836.5354706055004,751.936652676669,1028.9941698089851,191.44615326497194,20.685232665816727,10,0.8521159924342352,1.2440852857496731,True,compact,4,348.1905782856364,49.32044615454615,TYC 3631-02231-1,unclassified_object
261,365.37984661614206,287.12183192353166,1028.9861363012692,187.94767335799898,42.327915907654976,12,0.9592030684113261,1.3820263881242345,True,compact,4,37.96867911693101,-15.195325895224299,TYC 5860-02587-1,unclassified_object
